"Pais","Año","entradas","salidas","flujoNeto","flujoBruto","rankFlujos"
"Afganistán",2018,10,31,-21,41,130
"Albania",2018,44,68,-24,112,99
"Alemania",2018,35860,16678,19182,52538,14
"Andorra",2018,69,11,58,80,107
"Angola",2018,13,46,-33,59,120
"Anguila/Territorio Británico de Ultramar",2018,2,1,1,3,197
"Antártida",2018,0,1,-1,1,217
"Antigua y Barbuda",2018,49,26,23,75,108
"Arabia Saudita",2018,68,279,-211,347,78
"Argelia",2018,50,51,-1,101,100
"Argentina",2018,128656,42543,86113,171199,7
"Aruba",2018,3,37930,-37927,37933,18
"Australia",2018,8053,5310,2743,13363,27
"Austria",2018,3735,619,3116,4354,42
"Azerbaiyán",2018,46,70,-24,116,96
"Bahamas",2018,198,604,-406,802,60
"Bahréin",2018,11,72,-61,83,105
"Bangladesh",2018,29,8,21,37,133
"Barbados",2018,178,115,63,293,82
"Bélgica",2018,5534,1557,3977,7091,34
"Belice",2018,149,192,-43,341,79
"Benín",2018,9,3,6,12,165
"Bermudas/Territorio Británico de Ultramar",2018,25,34,-9,59,120
"Bolivia",2018,10309,6947,3362,17256,23
"Bosnia y Herzegovina",2018,66,8,58,74,110
"Botsuana",2018,5,1,4,6,185
"Brasil",2018,105126,56652,48474,161778,8
"Brunei Darussalam",2018,3,4,-1,7,182
"Bulgaria",2018,661,47,614,708,63
"Burkina Faso",2018,17,1,16,18,154
"Burundi",2018,3,0,3,3,197
"Bután",2018,6,0,6,6,185
"Cabo Verde",2018,22,10,12,32,140
"Camboya",2018,3,25,-22,28,146
"Camerún",2018,37,15,22,52,123
"Canadá",2018,34717,35101,-384,69818,11
"Chad",2018,4,2,2,6,185
"Chile",2018,73094,65923,7171,139017,10
"China",2018,9091,4717,4374,13808,25
"Chipre",2018,104,11,93,115,97
"Colombia",2018,0,5787,-5787,5787,39
"Comoras",2018,1,0,1,1,217
"Costa de Marfil",2018,24,68,-44,92,102
"Costa Rica",2018,24212,19362,4850,43574,16
"Croacia",2018,586,77,509,663,64
"Cuba",2018,7608,17046,-9438,24654,21
"Curazao",2018,3,3379,-3376,3382,45
"Desconocido",2018,1511,0,1511,1511,53
"Dinamarca",2018,3016,365,2651,3381,46
"Dominica",2018,76,7,69,83,105
"Ecuador",2018,74081,155680,-81599,229761,6
"Egipto",2018,210,263,-53,473,72
