"Año","Mes","Pais","entradas","salidas","flujoNeto","flujoBruto","mes","fecha","rankFlujos"
2012,"Enero","Islas Alboran y Perejil",1,0,1,1,1,"2012-1",187
2012,"Enero","Albania",3,0,3,3,1,"2012-1",143
2012,"Enero","Alemania",3835,1812,2023,5647,1,"2012-1",14
2012,"Enero","Andorra",17,1,16,18,1,"2012-1",99
2012,"Enero","Angola",2,28,-26,30,1,"2012-1",81
2012,"Enero","Antigua y Barbuda",2,9,-7,11,1,"2012-1",104
2012,"Enero","Países Bajos",2216,1783,433,3999,1,"2012-1",19
2012,"Enero","Argelia",7,24,-17,31,1,"2012-1",79
2012,"Enero","Argentina",11778,7043,4735,18821,1,"2012-1",6
2012,"Enero","Aruba",2,6719,-6717,6721,1,"2012-1",12
2012,"Enero","Australia",1057,973,84,2030,1,"2012-1",22
2012,"Enero","Austria",479,59,420,538,1,"2012-1",37
2012,"Enero","Azerbaiyán",3,6,-3,9,1,"2012-1",108
2012,"Enero","Bahamas",7,238,-231,245,1,"2012-1",49
2012,"Enero","Bahréin",1,1,0,2,1,"2012-1",153
2012,"Enero","Bangladesh",1,1,0,2,1,"2012-1",153
2012,"Enero","Barbados",6,10,-4,16,1,"2012-1",100
2012,"Enero","República de Belarús",10,42,-32,52,1,"2012-1",73
2012,"Enero","Bélgica",552,242,310,794,1,"2012-1",30
2012,"Enero","Belice",20,7,13,27,1,"2012-1",85
2012,"Enero","Bermudas/Territorio Británico de Ultramar",2,2,0,4,1,"2012-1",137
2012,"Enero","Bolivia",916,686,230,1602,1,"2012-1",24
2012,"Enero","Bosnia y Herzegovina",1,0,1,1,1,"2012-1",187
2012,"Enero","Botsuana",1,3,-2,4,1,"2012-1",137
2012,"Enero","Brasil",9810,5022,4788,14832,1,"2012-1",9
2012,"Enero","Bulgaria",21,4,17,25,1,"2012-1",86
2012,"Enero","Burkina Faso",1,1,0,2,1,"2012-1",153
2012,"Enero","Islas Caimán/Territorio Británico de Ultramar",10,64,-54,74,1,"2012-1",66
2012,"Enero","Camerún",3,3,0,6,1,"2012-1",120
2012,"Enero","Canadá",6429,6683,-254,13112,1,"2012-1",10
2012,"Enero","Chad",2,1,1,3,1,"2012-1",143
2012,"Enero","España",7546,21122,-13576,28668,1,"2012-1",5
2012,"Enero","República Democrática del Congo",3,21,-18,24,1,"2012-1",90
2012,"Enero","República de Corea",489,33,456,522,1,"2012-1",38
2012,"Enero","Costa de Marfil",2,2,0,4,1,"2012-1",137
2012,"Enero","Costa Rica",2067,3123,-1056,5190,1,"2012-1",16
2012,"Enero","Croacia",29,1,28,30,1,"2012-1",81
2012,"Enero","Cuba",454,1905,-1451,2359,1,"2012-1",20
2012,"Enero","Curazao",2,1568,-1566,1570,1,"2012-1",26
2012,"Enero","República Checa",136,18,118,154,1,"2012-1",57
2012,"Enero","Chile",5529,6528,-999,12057,1,"2012-1",11
2012,"Enero","China",377,275,102,652,1,"2012-1",35
2012,"Enero","Chipre",3,2,1,5,1,"2012-1",127
2012,"Enero","Dinamarca",243,47,196,290,1,"2012-1",47
2012,"Enero","Dominica",6,28,-22,34,1,"2012-1",76
2012,"Enero","Ecuador",7962,35982,-28020,43944,1,"2012-1",3
2012,"Enero","Egipto",9,183,-174,192,1,"2012-1",52
2012,"Enero","El Salvador",927,1306,-379,2233,1,"2012-1",21
2012,"Enero","Eslovaquia",53,4,49,57,1,"2012-1",69
2012,"Enero","Eslovenia",78,7,71,85,1,"2012-1",62
2012,"Enero","Estados Unidos de América",21687,79984,-58297,101671,1,"2012-1",1
2012,"Enero","Estonia",24,0,24,24,1,"2012-1",90
2012,"Enero","Etiopia",2,4,-2,6,1,"2012-1",120
2012,"Enero","Filipinas",174,17,157,191,1,"2012-1",53
2012,"Enero","Finlandia",559,23,536,582,1,"2012-1",36
2012,"Enero","Francia",3436,2910,526,6346,1,"2012-1",13
2012,"Enero","Gabón",1,7,-6,8,1,"2012-1",110
2012,"Enero","Georgia",1,5,-4,6,1,"2012-1",120
2012,"Enero","Ghana",5,5,0,10,1,"2012-1",105
2012,"Enero","Granada",1,2,-1,3,1,"2012-1",143
2012,"Enero","Grecia",110,10,100,120,1,"2012-1",58
2012,"Enero","Guatemala",614,984,-370,1598,1,"2012-1",25
2012,"Enero","Guyana",5,22,-17,27,1,"2012-1",85
2012,"Enero","Guinea",1,8,-7,9,1,"2012-1",108
2012,"Enero","Guinea Ecuatorial",1,21,-20,22,1,"2012-1",94
2012,"Enero","Guayana Francesa/Departamento de Ultramar Francés",1,0,1,1,1,"2012-1",187
2012,"Enero","Haití",31,50,-19,81,1,"2012-1",64
2012,"Enero","Honduras",346,472,-126,818,1,"2012-1",29
2012,"Enero","Hungría",102,13,89,115,1,"2012-1",59
2012,"Enero","India",280,85,195,365,1,"2012-1",41
2012,"Enero","Indonesia",33,22,11,55,1,"2012-1",71
2012,"Enero","Irán",17,7,10,24,1,"2012-1",90
2012,"Enero","República de Irlanda",225,33,192,258,1,"2012-1",48
2012,"Enero","Islandia",15,8,7,23,1,"2012-1",91
2012,"Enero","Isla de Man",294,0,294,294,1,"2012-1",46
2012,"Enero","Isla Johnston",2,0,2,2,1,"2012-1",153
2012,"Enero","Israel",558,228,330,786,1,"2012-1",31
2012,"Enero","Islas Aland/Provincia de Finlandia",1,0,1,1,1,"2012-1",187
2012,"Enero","Isla Wake",1,0,1,1,1,"2012-1",187
2012,"Enero","Italia",3157,1665,1492,4822,1,"2012-1",17
2012,"Enero","Islas del Canal",1,0,1,1,1,"2012-1",187
2012,"Enero","Jamaica",46,272,-226,318,1,"2012-1",44
2012,"Enero","Islas Marianas del Norte",1,0,1,1,1,"2012-1",187
2012,"Enero","Japón",643,101,542,744,1,"2012-1",33
2012,"Enero","Jordania",2,4,-2,6,1,"2012-1",120
2012,"Enero","Kazajistán",2,7,-5,9,1,"2012-1",108
2012,"Enero","Kenia",21,11,10,32,1,"2012-1",78
2012,"Enero","Kuwait",1,4,-3,5,1,"2012-1",127
2012,"Enero","Letonia",23,5,18,28,1,"2012-1",82
2012,"Enero","Lituania",19,5,14,24,1,"2012-1",90
2012,"Enero","Líbano",53,27,26,80,1,"2012-1",65
2012,"Enero","Libia",1,0,1,1,1,"2012-1",187
2012,"Enero","Liechtenstein",5,0,5,5,1,"2012-1",127
2012,"Enero","Luxemburgo",10,9,1,19,1,"2012-1",97
2012,"Enero","Macedonia",1,0,1,1,1,"2012-1",187
2012,"Enero","Malasia",30,23,7,53,1,"2012-1",72
2012,"Enero","Malta",5,13,-8,18,1,"2012-1",99
2012,"Enero","Marruecos",8,13,-5,21,1,"2012-1",95
2012,"Enero","Mauricio",3,1,2,4,1,"2012-1",137
2012,"Enero","México",6156,12040,-5884,18196,1,"2012-1",7
2012,"Enero","República de Moldavia",3,2,1,5,1,"2012-1",127
